Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
202417775,7/5/24,9:35,1SCL1,Operational,0.69,0.75,1,<1,<1
202418004,7/8/24,10:31,1S03,Operational,0.79,0.66,1,<1,<1
202419179,7/20/24,9:42,1S03B,Operational,0.78,0.96,1,<1,<1
202418756,7/16/24,10:51,1S03,Operational,0.79,0.67,1,<1,<1
202418421,7/12/24,10:43,1SCH3,Operational,0.76,0.79,1,<1,<1
202418109,7/9/24,11:30,1SCL1,Operational,0.72,0.71,1,<1,<1
202417300,7/1/24,10:04,1SCL1,Operational,0.71,0.92,1,<1,<1
202417406,7/2/24,8:55,33550,Compliance,0.44,0.76,1,<1,<1
202417401,7/2/24,10:15,1S03A,Operational,1.01,0.76,1,<1,<1
202417369,7/2/24,12:02,35750,Compliance,0.24,0.6,1,<1,<1
202418208,7/10/24,10:43,1S03B,Operational,0.8,1.35,1,<1,<1
202419402,7/23/24,10:24,1S03B,Operational,0.71,0.64,1,<1,<1
202418306,7/11/24,8:20,1S03,Operational,0.79,0.69,1,<1,<1
202419265,7/21/24,10:30,1S03B,Operational,0.7,0.64,1,<1,<1
202417919,7/7/24,9:33,1S03A,Operational,1,0.69,1,<1,<1
202418678,7/15/24,10:22,1S03,Operational,0.77,0.82,1,<1,<1
202417384,7/2/24,8:30,76150,Compliance,0.56,0.63,1,<1,<1
202417497,7/3/24,10:07,1S03A,Operational,0.95,0.73,1,<1,<1
202418005,7/8/24,9:03,1S03A,Operational,0.98,0.77,1,<1,<1
202417399,7/2/24,9:21,10750,Compliance,0.98,0.67,1,<1,<1
202419082,7/19/24,10:25,1S03,Operational,0.76,0.66,1,<1,<1
202418593,7/14/24,9:59,1SCH3,Op-resample,0.67,0.72,1,<1,<1
202417647,7/4/24,10:08,1SCL1,Operational,0.76,0.65,1,<1,<1
202418106,7/9/24,10:42,1S03,Operational,0.85,0.67,1,<1,<1
202418940,7/18/24,10:32,1S03,Operational,0.81,0.69,1,<1,<1
202417922,7/7/24,11:13,1SCL1,Operational,0.74,0.71,1,<1,<1
202419340,7/22/24,10:23,1S03,Operational,0.82,0.64,1,<1,<1
202417546,7/3/24,9:39,1S03,Operational,0.94,0.73,1,<1,<1
202418211,7/10/24,8:48,1SCH3,Operational,0.73,0.83,1,<1,<1
202417771,7/5/24,8:50,1S03,Operational,0.81,0.8,1,<1,<1
202418752,7/16/24,11:29,1S03A,Operational,0.99,0.69,1,<1,<1
202417377,7/2/24,9:35,47550,Compliance,0.13,0.69,1,<1,<1
202418514,7/13/24,11:34,1SCH3,Operational,0.71,0.69,1,1,<1
202417354,7/2/24,9:47,1SCH3,Operational,0.77,0.68,1,<1,<1
202418759,7/16/24,11:39,1SCL1,Operational,0.66,0.72,1,<1,<1
202418843,7/17/24,9:54,1S03B,Operational,0.78,0.63,1,<1,<1
202419401,7/23/24,9:40,1S03A,Operational,0.96,0.7,1,<1,<1
202419177,7/20/24,10:07,1S03,Operational,0.73,0.62,1,<1,<1
202419084,7/19/24,9:40,1S03B,Operational,0.72,0.62,1,<1,<1
202417920,7/7/24,10:01,1S03B,Operational,0.76,0.7,1,<1,<1
202418102,7/9/24,10:22,1S03A,Operational,1.08,0.7,1,<1,<1
202418682,7/15/24,11:37,1SCL1,Operational,0.71,0.78,1,<1,<1
202419504,7/24/24,10:08,1S03A,Operational,1.09,0.63,1,<1,<1
202418942,7/18/24,9:53,1S03B,Operational,0.67,0.64,1,<1,<1
202418590,7/14/24,9:26,1S03,Operational,0.69,0.74,1,<1,<1
202419264,7/21/24,9:17,1S03A,Operational,0.87,0.63,1,<1,<1
202418417,7/12/24,11:44,1S03B,Operational,0.74,0.68,1,<1,<1
202417353,7/2/24,8:39,1S03,Operational,0.89,0.67,1,<1,<1
202418515,7/13/24,11:44,1SCL1,Operational,0.71,0.74,1,<1,<1
202417297,7/1/24,11:36,1S03A,Operational,0.96,0.83,1,<1,<1
202418309,7/11/24,8:46,1SCH3,Operational,0.76,0.77,1,<1,<1
202418592,7/14/24,10:41,1S03B,Operational,0.75,0.65,1,<1,<1
202418207,7/10/24,9:48,1S03A,Operational,0.94,0.93,1,<1,<1
202418416,7/12/24,11:11,1S03A,Operational,1.02,0.73,1,<1,<1
202417382,7/2/24,9:15,44450,Compliance,0.2,0.63,1,<1,<1
202418681,7/15/24,11:23,1SCH3,Operational,0.68,0.74,1,<1,<1
202417844,7/6/24,8:29,1S03,Operational,0.91,0.67,1,<1,<1
202417368,7/2/24,11:00,31950,Compliance,0.43,0.61,1,<1,<1
202418512,7/13/24,9:06,1S03A,Operational,0.94,0.66,1,<1,<1
202418842,7/17/24,10:33,1S03A,Operational,1,0.65,1,<1,<1
202418943,7/18/24,11:08,1SCH3,Operational,0.64,0.65,1,<1,<1
202418511,7/13/24,10:52,1S03,Operational,0.83,0.68,1,<1,<1
202418308,7/11/24,9:49,1S03B,Operational,0.73,0.68,1,<1,<1
202418008,7/8/24,11:13,1SCL1,Operational,0.71,0.9,1,<1,<1
202418895,7/17/24,10:13,1SCL1,Operational,0.68,0.64,1,<1,<1
202418307,7/11/24,10:49,1S03A,Operational,0.96,0.71,1,<1,<1
202418422,7/12/24,11:01,1SCL1,Operational,0.77,0.73,1,<1,<1
202419343,7/22/24,10:53,1SCH3,Operational,0.65,0.66,1,<1,<1
202418310,7/11/24,9:02,1SCL1,Operational,0.7,0.76,1,<1,<1
202419266,7/21/24,10:55,1SCH3,Operational,0.64,0.66,1,<1,<1
202418753,7/16/24,10:32,1S03B,Operational,0.73,0.75,1,<1,<1
202418594,7/14/24,10:09,1SCL1,Operational,0.66,0.73,1,<1,<1
202417366,7/2/24,8:57,30150,Compliance,0.22,0.73,1,<1,<1
202418103,7/9/24,9:42,1S03B,Operational,0.73,0.66,1,<1,<1
202418680,7/15/24,9:55,1S03B,Operational,0.75,0.65,1,<1,<1
202417336,7/2/24,12:07,22950,Compliance,0.39,0.6,1,<1,<1
202417773,7/5/24,10:49,1S03B,Operational,0.74,0.93,1,<1,<1
202417378,7/2/24,10:35,78150,Compliance,0.61,0.67,1,<1,<1
202417549,7/3/24,10:24,1SCL1,Operational,0.83,0.66,1,<1,<1
202418941,7/18/24,9:15,1S03A,Operational,0.93,0.59,1,<1,<1
202417335,7/2/24,8:54,21550,Compliance,0.54,0.59,1,<1,<1
202417921,7/7/24,11:04,1SCH3,Op-resample,0.75,0.7,1,<1,<1
202417407,7/2/24,10:24,37450,Compliance,0.32,0.69,1,<1,<1
202419263,7/21/24,10:30,1S03,Operational,0.82,0.63,1,<1,<1
202419178,7/20/24,9:08,1S03A,Operational,0.93,0.75,1,<1,<1
202419507,7/24/24,11:50,1SCL1,Operational,0.89,0.68,1,<1,<1
202420023,7/30/24,9:57,1SCL1,Operational,0.78,0.61,1,<1,<1
202419700,7/26/24,9:40,1S03,Operational,0.78,0.66,1,<1,<1
202419784,7/27/24,9:51,1SCH3,Operational,0.82,0.84,1,<1,<1
202419704,7/26/24,10:12,1SCL1,Operational,0.79,0.65,1,<1,<1
202420143,7/31/24,10:06,1S03B,Operational,0.69,0.7,1,<1,<1
202419506,7/24/24,11:24,1SCH3,Operational,0.7,0.71,1,<1,<1
202419583,7/25/24,8:26,1SCH3,Operational,0.78,0.67,1,<1,<1
202419874,7/28/24,9:16,1S03,Operational,0.79,0.61,1,<1,<1
202419876,7/28/24,10:35,1S03B,Operational,0.78,0.6,1,<1,<1
202419782,7/27/24,8:33,1S03A,Operational,0.95,0.79,1,<1,<1
202419581,7/25/24,11:08,1S03A,Operational,0.91,0.64,1,<1,<1
202419785,7/27/24,10:07,1SCL1,Operational,0.8,0.75,1,<1,<1
202419877,7/28/24,8:31,1SCH3,Operational,0.66,0.7,1,<1,<1
202419701,7/26/24,8:45,1S03A,Operational,1.1,0.69,1,<1,<1
202419703,7/26/24,10:02,1SCH3,Operational,0.69,0.67,1,<1,<1
202420072,7/30/24,8:11,1S07,Operational,0.73,0.63,1,<1,<1
202420022,7/30/24,9:44,1SCH3,Operational,0.73,0.69,1,<1,<1
202419949,7/29/24,10:26,1S03,Operational,0.83,0.77,1,<1,<1
202420142,7/31/24,9:34,1S03A,Operational,0.99,0.88,1,<1,<1
202419878,7/28/24,8:46,1SCL1,Operational,0.71,0.67,1,<1,<1
202420152,7/31/24,8:35,1SCH3,Operational,0.8,0.82,1,<1,<1
202420071,7/30/24,8:43,1S03B,Operational,0.81,0.8,1,<1,<1
202420153,7/31/24,8:45,1SCL1,Operational,0.84,0.69,1,<1,<1
202420019,7/30/24,10:30,1S03,Operational,0.79,0.68,1,<1,<1
202419951,7/29/24,9:56,1S03B,Operational,0.78,0.76,1,<1,<1
202419582,7/25/24,9:08,1S03B,Operational,0.68,0.64,1,<1,<1
202419875,7/28/24,11:06,1S03A,Operational,0.9,0.66,1,<1,<1
202419950,7/29/24,9:11,1S03A,Operational,0.87,0.71,1,<1,<1
202419953,7/29/24,11:09,1SCL1,Operational,0.85,0.74,1,<1,<1
202420151,7/31/24,9:28,1S03,Operational,0.74,0.7,1,<1,<1
202419781,7/27/24,10:28,1S03,Operational,0.9,0.6,1,<1,<1
202419783,7/27/24,9:08,1S03B,Operational,0.79,0.71,1,<1,<1
202419702,7/26/24,9:13,1S03B,Operational,0.68,0.65,1,<1,<1
202420070,7/30/24,9:29,1S03A,Operational,0.91,0.69,1,<1,<1
202419952,7/29/24,10:55,1SCH3,Operational,0.74,0.75,1,<1,<1
202419580,7/25/24,9:08,1S03,Operational,0.8,0.68,1,<1,<1
202419584,7/25/24,8:34,1SCL1,Operational,0.77,0.67,1,<1,<1
201510464,5/7/15,9:49,1SCL1,Operational,0.87,0.33,0.89,<1,<1
201510619,5/8/15,9:29,1SCL1,Operational,0.82,1,0.88,<1,<1
201819294,6/28/18,8:49,1SCL1,Operational,0.95,0.14,0.87,<1,<1
201817492,6/13/18,10:04,1SCL1,Operational,0.82,0.14,0.86,<1,<1
201818619,6/22/18,9:04,1SCL1,Operational,0.86,0.15,0.86,<1,<1
202103736,2/2/21,8:15,1SCH3,Operational,0.64,0.1,0.86,<1,<1
201500340,1/6/15,10:12,1S03A,Operational,0.9,1.17,0.85,<1,<1
201500341,1/6/15,9:27,1S03B,Operational,0.84,1.13,0.85,<1,<1
201500342,1/6/15,10:59,10750,Compliance,0.78,1.14,0.85,<1,<1
201500343,1/6/15,8:41,21550,Compliance,0.54,1.15,0.85,<1,<1
201503108,2/9/15,12:47,1S04,Operational,0.67,1.04,0.85,<1,<1
201503110,2/9/15,10:46,1S03A,Operational,0.66,1.05,0.85,<1,<1
201509776,4/30/15,11:30,1S03A,Operational,0.84,1.13,0.85,<1,<1
201509777,4/30/15,10:27,1S03B,Operational,0.72,0.96,0.85,<1,<1
201509863,5/1/15,10:39,1S03A,Operational,0.85,0.84,0.85,<1,<1
201509864,5/1/15,11:17,1S03B,Operational,0.63,0.87,0.85,<1,<1
201510212,5/5/15,10:47,1S03B,Operational,0.77,0.95,0.85,<1,<1
201510214,5/5/15,8:54,18650,Compliance,0.51,0.93,0.85,<1,<1
201510456,5/7/15,11:41,1S03A,Operational,0.76,0.87,0.85,<1,<1
201510457,5/7/15,12:14,1S03B,Operational,0.63,1,0.85,<1,<1
201510611,5/8/15,8:45,1S07,Operational,0.61,1.18,0.85,<1,<1
201510860,5/11/15,12:00,1S03A,Operational,0.8,1.03,0.85,<1,<1
201511159,5/14/15,9:07,1SCL1,Operational,0.84,0.67,0.85,<1,<1
201511949,5/23/15,9:13,1SCH4,Operational,0.51,0.98,0.85,<1,<1
201643918,4/21/16,11:31,1SCH3,Operational,0.81,<0.10,0.85,<1,<1
201704560,2/16/17,11:18,1SCH3,Operational,0.73,0.12,0.85,<1,<1
201816374,6/4/18,11:40,1SCL1,Operational,0.8,0.21,0.85,<1,<1
202103252,1/28/21,10:45,1SCH3,Operational,0.56,0.11,0.85,<1,<1
202229338,10/14/22,9:18,1SCH3,Operational,0.66,0.12,0.84,<1,<1
202229339,10/14/22,9:27,1SCL1,Operational,0.82,0.2,0.84,<1,<1
201500338,1/6/15,10:13,1S04,Operational,0.7,1.08,0.84,<1,<1
201500339,1/6/15,10:52,1S07,Operational,0.71,1.14,0.84,<1,<1
201500344,1/6/15,10:31,22250,Compliance,0.47,1.01,0.84,<1,<1
201500347,1/6/15,11:31,30150,Compliance,0.58,1.33,0.84,<1,<1
201500348,1/6/15,10:37,31050,Compliance,0.63,1.19,0.84,<1,<1
201500349,1/6/15,10:15,31650,Compliance,0.35,1.12,0.84,<1,<1
201500350,1/6/15,9:34,31950,Compliance,0.63,1.07,0.84,<1,<1
201500352,1/6/15,11:25,35750,Compliance,0.58,1.07,0.84,<1,<1
201500353,1/6/15,11:58,37450,Compliance,0.51,1.04,0.84,<1,<1
201500354,1/6/15,9:41,44450,Compliance,0.37,0.96,0.84,<1,<1
201500360,1/6/15,8:49,78150,Compliance,0.69,1.17,0.84,<1,<1
201500494,1/7/15,10:21,1S07,Operational,0.65,1.16,0.84,<1,<1
201501663,1/20/15,11:06,1S03A,Operational,0.85,1.03,0.84,<1,<1
201501750,1/21/15,10:35,1S03A,Operational,0.8,0.92,0.84,<1,<1
201501899,1/23/15,11:48,1S04,Operational,0.43,0.97,0.84,<1,<1
201501900,1/23/15,11:03,1S07,Operational,0.65,1.01,0.84,<1,<1
201501902,1/23/15,11:52,1S03B,Operational,0.79,1.09,0.84,<1,<1
201502309,1/29/15,12:13,1S04,Operational,0.59,0.91,0.84,<1,<1
201502310,1/29/15,10:58,1S07,Operational,0.56,0.88,0.84,<1,<1
201502311,1/29/15,10:36,1S03A,Operational,0.93,0.94,0.84,<1,<1
201502463,1/31/15,13:20,1S04,Operational,0.56,0.95,0.84,<1,<1
201502464,1/31/15,11:57,1S07,Operational,0.54,0.93,0.84,<1,<1
201503109,2/9/15,11:35,1S07,Operational,0.64,1.04,0.84,<1,<1
201503111,2/9/15,11:33,1S03B,Operational,0.69,1.1,0.84,<1,<1
201503199,2/10/15,11:08,1S03B,Operational,0.73,0.96,0.84,<1,<1
201503439,2/13/15,12:17,1S04,Operational,0.57,1.15,0.84,<1,<1
201503440,2/13/15,10:56,1S07,Operational,0.61,1.13,0.84,<1,<1
201503441,2/13/15,9:29,1S03A,Operational,0.86,1.15,0.84,<1,<1
201503442,2/13/15,10:00,1S03B,Operational,0.72,1.08,0.84,<1,<1
201506968,3/28/15,11:39,1S03A,Operational,0.65,1.43,0.84,<1,<1
201508918,4/20/15,11:05,1S03A,Operational,0.84,0.93,0.84,<1,<1
201508919,4/20/15,11:47,1S03B,Operational,0.78,0.87,0.84,<1,<1
201509002,4/21/15,10:10,1S03A,Operational,0.77,1.12,0.84,<1,<1
201509090,4/22/15,10:17,1S03A,Operational,0.74,0.8,0.84,<1,<1
201509091,4/22/15,10:52,1S03B,Operational,0.79,0.89,0.84,<1,<1
201509774,4/30/15,12:46,1S04,Operational,0.62,0.88,0.84,<1,<1
201509775,4/30/15,11:12,1S07,Operational,0.68,1.03,0.84,<1,<1
201509861,5/1/15,12:35,1S04,Operational,0.78,0.84,0.84,<1,<1
201509862,5/1/15,10:39,1S07,Operational,0.72,0.94,0.84,<1,<1
201509973,5/2/15,12:54,1S04,Operational,0.76,0.87,0.84,<1,<1
201509974,5/2/15,11:58,1S07,Operational,0.7,1.11,0.84,<1,<1
201509975,5/2/15,12:28,1S03A,Operational,0.81,1.01,0.84,<1,<1
201509976,5/2/15,13:08,1S03B,Operational,0.53,0.91,0.84,<1,<1
201510210,5/5/15,10:31,1S07,Operational,0.65,0.91,0.84,<1,<1
201510211,5/5/15,10:09,1S03A,Operational,0.78,1.08,0.84,<1,<1
201510213,5/5/15,10:04,15150,Compliance,0.58,0.99,0.84,<1,<1
201510216,5/5/15,9:26,23450,Compliance,0.27,0.88,0.84,<1,<1
201510324,5/6/15,10:59,1S03A,Operational,0.74,1.03,0.84,<1,<1
201510325,5/6/15,11:27,1S03B,Operational,0.66,0.99,0.84,<1,<1
201510455,5/7/15,11:17,1S07,Operational,0.71,0.98,0.84,<1,<1
201510610,5/8/15,10:28,1S04,Operational,0.76,0.92,0.84,<1,<1
201510612,5/8/15,11:18,1S03A,Operational,0.71,1.11,0.84,<1,<1
201510613,5/8/15,12:02,1S03B,Operational,0.77,0.99,0.84,<1,<1
201510961,5/12/15,10:08,1SCL1,Operational,1.02,0.88,0.84,<1,<1
201511413,5/17/15,10:31,1S03A,Operational,0.62,1.03,0.84,<1,<1
201511944,5/23/15,11:49,1S04,Operational,0.74,0.92,0.84,<1,<1
201511946,5/23/15,10:29,1S03A,Operational,0.76,0.97,0.84,<1,<1
201511947,5/23/15,11:05,1S03B,Operational,0.71,0.98,0.84,<1,<1
201512081,5/25/15,11:26,1S04,Operational,0.74,0.96,0.84,<1,<1
201512082,5/25/15,11:52,1S07,Operational,0.72,0.99,0.84,<1,<1
201512083,5/25/15,10:11,1S03A,Operational,0.72,1,0.84,<1,<1
201512084,5/25/15,10:55,1S03B,Operational,0.54,0.82,0.84,<1,<1
201512086,5/25/15,9:15,1SCH4,Operational,0.54,0.92,0.84,<1,<1
201512151,5/26/15,12:50,1S04,Operational,0.83,0.9,0.84,<1,<1
201512152,5/26/15,10:50,1S07,Operational,0.83,0.89,0.84,<1,<1
201512153,5/26/15,11:36,1S03A,Operational,0.67,0.97,0.84,<1,<1
201647168,5/24/16,10:00,1SCL1,Operational,0.93,0.13,0.84,<1,<1
201647733,5/30/16,9:43,1SCL1,Operational,0.86,0.13,0.84,<1,<1
201818017,6/17/18,8:54,1SCL1,Operational,0.92,0.14,0.84,<1,<1
201819050,6/26/18,9:58,1SCL1,Operational,0.98,0.15,0.84,<1,<1
201820022,7/4/18,10:47,1SCL1,Operational,0.85,0.15,0.84,<1,<1
201820226,7/6/18,10:59,1SCL1,Operational,0.84,0.18,0.84,<1,<1
201836503,12/5/18,11:51,1SCL1,Operational,0.98,0.26,0.84,<1,<1
202106950,3/4/21,10:58,1SCL1,Operational,0.72,0.24,0.84,<1,<1
202111425,4/12/21,8:39,1SCH3,Operational,0.53,<0.10,0.84,<1,<1
201500083,1/2/15,9:25,1S07,Operational,0.69,1.04,0.83,<1,<1
201500084,1/2/15,12:10,1S04,Operational,0.66,0.99,0.83,<1,<1
201500085,1/2/15,10:28,1S03A,Operational,0.89,1.15,0.83,<1,<1
201500086,1/2/15,11:14,1S03B,Operational,0.81,0.98,0.83,<1,<1
201500346,1/6/15,11:41,26850,Compliance,0.56,1.04,0.83,<1,<1
201500355,1/6/15,11:17,46150,Compliance,0.5,0.96,0.83,<1,<1
201500358,1/6/15,10:41,57750,Compliance,0.8,0.89,0.83,<1,<1
201500359,1/6/15,10:23,76150,Compliance,0.61,1.11,0.83,<1,<1
201500487,1/7/15,11:38,1S03A,Operational,0.84,1.06,0.83,<1,<1
201500489,1/7/15,10:30,1S04,Operational,0.81,1.21,0.83,<1,<1
201500696,1/8/15,11:55,1S04,Operational,0.57,1.17,0.83,<1,<1
201500822,1/10/15,11:27,1S04,Operational,0.71,1.07,0.83,<1,<1
201500826,1/10/15,12:28,1S07,Operational,0.75,1.1,0.83,<1,<1
201501280,1/15/15,11:41,1S07,Operational,0.58,1.01,0.83,<1,<1
201501524,1/18/15,12:10,1S03A,Operational,0.83,0.97,0.83,<1,<1
201501532,1/18/15,11:08,1S07,Operational,0.57,1.01,0.83,<1,<1
201501583,1/19/15,11:17,1S03A,Operational,0.73,0.99,0.83,<1,<1
201501584,1/19/15,10:49,1S03B,Operational,0.68,1.02,0.83,<1,<1
201501589,1/19/15,11:19,1S07,Operational,0.58,1.05,0.83,<1,<1
201501664,1/20/15,11:49,1S03B,Operational,0.79,0.95,0.83,<1,<1
201501665,1/20/15,12:31,1S04,Operational,0.47,0.95,0.83,<1,<1
201501674,1/20/15,12:19,1S07,Operational,0.59,0.95,0.83,<1,<1
201501751,1/21/15,11:06,1S03B,Operational,0.76,0.91,0.83,<1,<1
201501813,1/22/15,11:16,1S04,Operational,0.72,0.97,0.83,<1,<1
201501814,1/22/15,10:33,1S07,Operational,0.54,1.06,0.83,<1,<1
201501815,1/22/15,11:22,1S03A,Operational,0.77,1.01,0.83,<1,<1
201501816,1/22/15,12:07,1S03B,Operational,0.81,0.92,0.83,<1,<1
201501901,1/23/15,11:16,1S03A,Operational,0.8,1.06,0.83,<1,<1
201502044,1/25/15,11:06,1S04,Operational,0.6,0.99,0.83,<1,<1
201502045,1/25/15,11:45,1S07,Operational,0.58,1.05,0.83,<1,<1
201502046,1/25/15,10:51,1S03A,Operational,0.72,0.99,0.83,<1,<1
